feature_set,n_columns,cv3_mean,cv5_mean,cv5_std
numeric_core + budget + location + holiday + genre_text + genre_flags,33,0.5470911406696969,0.5485187275734678,0.005276787308658659
numeric_core + location + holiday + genre_text + genre_flags,29,0.5456054155717941,0.5476342895070059,0.004807694490213845
numeric_core + budget + location + holiday + genre_text,13,0.5451103001431741,0.5464472160896443,0.00473899045111581
numeric_core + budget + location + genre_text + genre_flags,32,0.5450608249764352,0.5461770669119705,0.004511935576956362
numeric_core + location + genre_text + genre_flags,28,0.5440295646762404,0.5451611062221743,0.004939588758099805
numeric_core + budget + location + genre_text,12,0.5429930741939307,0.5444321222224957,0.003890300827656814
numeric_core + location + holiday + genre_text,9,0.5418479690959818,0.5427859329892539,0.005054991612703581
numeric_core + location + genre_text,8,0.5402028019692504,0.5410647831537807,0.004447636819150132
budget + location + holiday + genre_text + genre_flags,29,0.5372442707742142,0.5395635420192814,0.003925334159273385
numeric_core + budget + location + holiday + genre_flags,32,0.5373586873146879,0.5368644461821644,0.004688272665914727
budget + location + holiday + genre_text,9,0.5357055090950827,0.5360332701150133,0.003019764579639873
numeric_core + location + holiday + genre_flags,28,0.5356190130207306,0.534691402364073,0.00509263889600318
