年度,Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Inhabitant tax (millions yen)／計 Total,住民税負担額 (百万円) Inhabitant tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Inhabitant tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Tax levied per capita (yen)／計 Total,1人当たり負担額 (円) Tax levied per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Tax levied per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Tax levied per household (yen)／計 Total,1世帯当たり負担額 (円) Tax levied per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Tax levied per household (yen)／市町村民税分 Municipal
平成30,2018,0,13000,東京都,Tokyo-to,2190975,871994,1318980,158269,62990,95279,312538,124388,188150
令和元,2019,0,13000,東京都,Tokyo-to,2263211,900755,1362456,162320,64603,97717,318122,126612,191510
令和2,2020,0,13000,東京都,Tokyo-to,2305964,918676,1387288,164154,65397,98756,319068,127114,191954
令和3,2021,0,13000,東京都,Tokyo-to,2308431,918544,1389887,164753,65557,99196,318300,126654,191645
令和4,2022,0,13000,東京都,Tokyo-to,2409819,959231,1450588,171631,68318,103313,328611,130804,197807
令和4,2022,1,13100,区部,All ku,1863878,741916,1121962,191749,76326,115424,352756,140414,212341
令和4,2022,2,13101,千代田区,Chiyoda-ku,32354,12890,19464,480407,191399,289008,857049,341458,515591
令和4,2022,2,13102,中央区,Chuo-ku,55097,21944,33153,319476,127239,192237,578435,230375,348060
令和4,2022,2,13103,港区,Minato-ku,152615,60871,91744,582777,232443,350333,1031177,411290,619887
令和4,2022,2,13104,新宿区,Shinjuku-ku,79587,31702,47885,226692,90299,136393,350040,139433,210607
令和4,2022,2,13105,文京区,Bunkyo-ku,62213,24795,37418,256310,102151,154159,456232,181829,274403
令和4,2022,2,13106,台東区,Taito-ku,37251,14793,22458,173116,68746,104371,287047,113988,173058
令和4,2022,2,13107,墨田区,Sumida-ku,42366,16858,25509,153639,61134,92505,278659,110880,167778
令和4,2022,2,13108,江東区,Koto-ku,91006,36243,54763,171864,68444,103420,334820,133341,201479
令和4,2022,2,13109,品川区,Shinagawa-ku,88021,35073,52948,209943,83655,126288,370813,147756,223057
令和4,2022,2,13110,目黒区,Meguro-ku,78886,31447,47440,277000,110421,166579,509901,203263,306638
令和4,2022,2,13111,大田区,Ota-ku,122846,48782,74064,165824,65849,99975,305932,121486,184446
令和4,2022,2,13112,世田谷区,Setagaya-ku,213502,85077,128425,227544,90672,136872,433179,172614,260565
令和4,2022,2,13113,渋谷区,Shibuya-ku,96446,38328,58118,397652,158027,239625,642723,255419,387305
令和4,2022,2,13114,中野区,Nakano-ku,59709,23762,35947,173548,69066,104482,284877,113371,171506
令和4,2022,2,13115,杉並区,Suginami-ku,110041,43827,66214,187112,74522,112590,326846,130175,196671
令和4,2022,2,13116,豊島区,Toshima-ku,53595,21340,32256,176898,70434,106464,286923,114242,172682
令和4,2022,2,13117,北区,Kita-ku,50029,19877,30152,140746,55920,84826,259069,102931,156138
令和4,2022,2,13118,荒川区,Arakawa-ku,29413,11700,17712,135059,53726,81333,257736,102526,155210
令和4,2022,2,13119,板橋区,Itabashi-ku,76070,30254,45816,130586,51936,78650,238290,94771,143519
令和4,2022,2,13120,練馬区,Nerima-ku,111672,44445,67227,148664,59167,89496,294396,117168,177228
令和4,2022,2,13121,足立区,Adachi-ku,78583,31235,47348,113287,45030,68258,222199,88320,133879
令和4,2022,2,13122,葛飾区,Katsushika-ku,54808,21789,33019,121059,48127,72931,248000,98593,149406
令和4,2022,2,13123,江戸川区,Edogawa-ku,87767,34885,52882,127146,50537,76609,261725,104028,157697
令和4,2022,1,13200,市部,All shi,538428,214337,324091,126929,50528,76401,267212,106371,160840
令和4,2022,2,13201,八王子市,Hachioji-shi,62096,24679,37416,107045,42544,64501,226531,90032,136498
令和4,2022,2,13202,立川市,Tachikawa-shi,24067,9764,14303,130299,52860,77438,261136,105939,155197
令和4,2022,2,13203,武蔵野市,Musashino-shi,31189,12433,18755,206914,82486,124428,396448,158044,238404
令和4,2022,2,13204,三鷹市,Mitaka-shi,31902,12691,19212,163025,64850,98175,328556,130697,197859
令和4,2022,2,13205,青梅市,Ome-shi,12678,5035,7642,96235,38223,58012,220907,87740,133166
令和4,2022,2,13206,府中市,Fuchu-shi,34835,13862,20973,132450,52705,79745,276515,110032,166483
令和4,2022,2,13207,昭島市,Akishima-shi,12487,4960,7528,108977,43283,65694,233650,92800,140850
令和4,2022,2,13208,調布市,Chofu-shi,36330,14461,21869,149082,59341,89741,296668,118087,178581
令和4,2022,2,13209,町田市,Machida-shi,52375,20842,31533,120950,48130,72820,265170,105519,159651
令和4,2022,2,13210,小金井市,Koganei-shi,19384,7715,11669,152042,60516,91527,301655,120064,181591
令和4,2022,2,13211,小平市,Kodaira-shi,24471,9734,14738,122495,48724,73771,262046,104232,157814
令和4,2022,2,13212,日野市,Hino-shi,23112,9184,13928,121110,48128,72983,250382,99498,150883
令和4,2022,2,13213,東村山市,Higashimurayama-shi,16358,6503,9855,107442,42715,64727,234028,93041,140987
令和4,2022,2,13214,国分寺市,Kokubunji-shi,20359,8101,12259,155125,61723,93402,311186,123818,187368
令和4,2022,2,13215,国立市,Kunitachi-shi,12192,4848,7344,158323,62950,95373,313680,124721,188960
令和4,2022,2,13218,福生市,Fussa-shi,5797,2301,3496,103992,41275,62717,204261,81072,123189
令和4,2022,2,13219,狛江市,Komae-shi,11775,4687,7087,139641,55588,84052,274205,109156,165049
令和4,2022,2,13220,東大和市,Higashiyamato-shi,9113,3620,5493,109069,43327,65743,245915,97687,148228
令和4,2022,2,13221,清瀬市,Kiyose-shi,7849,3120,4729,103123,40987,62135,220535,87654,132881
令和4,2022,2,13222,東久留米市,Higashikurume-shi,13003,5171,7832,112823,44866,67957,250174,99487,150687
令和4,2022,2,13223,武蔵村山市,Musashimurayama-shi,6391,2536,3855,90933,36084,54849,210290,83447,126843
令和4,2022,2,13224,多摩市,Tama-shi,17767,7065,10702,121596,48352,73243,255551,101619,153932
令和4,2022,2,13225,稲城市,Inagi-shi,12512,4978,7534,132470,52707,79763,303772,120865,182907
令和4,2022,2,13227,羽村市,Hamura-shi,5927,2353,3574,109636,43527,66108,242951,96456,146495
令和4,2022,2,13228,あきる野市,Akiruno-shi,7766,3084,4682,98423,39085,59338,238278,94622,143656
令和4,2022,2,13229,西東京市,Nishitokyo-shi,26693,10611,16082,128758,51182,77576,272451,108300,164150
令和4,2022,1,13300,郡部,All gun,4935,1959,2976,90317,35854,54463,223901,88885,135016
令和4,2022,2,13303,瑞穂町,Mizuho-machi,3055,1212,1842,97450,38676,58774,231308,91801,139507
令和4,2022,2,13305,日の出町,Hinode-machi,1390,552,838,82632,32835,49797,227702,90480,137222
令和4,2022,2,13307,檜原村,Hinohara-mura,143,57,86,74131,29454,44677,177638,70579,107058
令和4,2022,2,13308,奥多摩町,Okutama-machi,347,137,209,76414,30279,46135,180326,71455,108871
令和4,2022,1,13350,島部,All islands,2578,1019,1559,108618,42937,65681,205192,81113,124079
令和4,2022,2,13361,大島町,Oshima-machi,654,260,394,95602,37956,57646,183045,72673,110372
令和4,2022,2,13362,利島村,Toshima-mura,41,16,25,121256,48170,73086,203494,80840,122653
令和4,2022,2,13363,新島村,Niijima-mura,231,92,139,100286,39768,60518,204572,81122,123450
令和4,2022,2,13364,神津島村,Kozushima-mura,172,67,105,96075,37441,58634,210590,82068,128522
令和4,2022,2,13381,三宅村,Miyake-mura,270,104,166,122543,47263,75280,201380,77669,123710
令和4,2022,2,13382,御蔵島村,Mikurajima-mura,40,16,24,130709,51673,79036,223968,88541,135427
令和4,2022,2,13401,八丈町,Hachijo-machi,643,255,388,93631,37139,56492,173241,68716,104525
令和4,2022,2,13402,青ヶ島村,Aogashima-mura,30,12,18,174625,68212,106413,244191,95386,148805
令和4,2022,2,13421,小笠原村,Ogasawara-mura,496,197,299,170824,67991,102833,334167,133004,201162
,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,
